Timestamp:InputSen:LatencyMS:OutputSen:State:EName
3462.849250972271:Europ:5004.755291971378:Non:done:
3462.849250972271:The r:5004.256726009771:Non:done:
338218.64536195993:Argua:4896.607876988128:毫无疑:done:
338218.64536195993:Nowhe:5001.18083099369:Non:done:
359943.94135797024:But t:1686.7545939749107:但真正:done:
359943.94135797024:The E:3991.804999008309:EMP:done:
364571.7125709653:Meanw:2787.5302850152366:与此同:done:
364571.7125709653:That :3526.7803340102546:它穿过:done:
384009.32592999935:But t:3422.5140899652615:但它忽:done:
384009.32592999935:By ig:5004.325777001213:Non:done:
393088.74134397507:And i:3970.2141450252384:而且,:done:
393088.74134397507:That :4778.014927986078:意味着:done:
405478.0625459552:On th:2225.1738060149364:在地球:done:
405478.0625459552:Socie:5004.733128997032:Non:done:
427817.0468249917:The a:2657.680056989193:滥用 :done:
427817.0468249917:The d:5003.796122968197:Non:done:
431394.2964400053:But t:2703.6247230134904:但最糟:done:
431394.2964400053:Israe:5002.106319996528:Non:done:
442286.80957996845:As th:3241.111459035892:正如诺:done:
442286.80957996845:The C:3695.2807490015402:宪法市:done:
443041.56094795465:If su:5003.9131109951995:Non:done:
443041.56094795465:Withi:5003.486643952783:Non:done:
450540.3572009802:In sh:1027.3315330268815:简言之:done:
450540.3572009802:Indee:2734.5689750509337:事实上:done:
454616.8909199834:By st:3894.723952980712:在泰国:done:
454616.8909199834:Inves:5001.311159983743:Non:done:
488987.4265859723:The m:1611.1785810207948:大规模:done:
488987.4265859723:There:5003.912405052688:Non:done:
498129.3237489462:Risin:1613.3442029822618:不断上:done:
498129.3237489462:Secon:2957.881529990118:其次,:done:
505828.329325974:Banks:1288.3478319854476:银行将:done:
505828.329325974:By im:3528.182292007841:通过对:done:
506850.8472429514:The w:4085.8972599962726:欧洲最:done:
506850.8472429514:With :5003.028728009667:Non:done:
513990.59575498104:And P:1245.3004039707594:普京很:done:
513990.59575498104:The c:3161.440403026063:政变和:done:
536570.8104689717:First:808.0019149929285:首先,:done:
536570.8104689717:The e:1617.3586809891276:欧洲的:done:
547068.9545490146:The d:2223.451340047177:希望能:done:
547068.9545490146:The w:4898.3324309811:按照传:done:
556350.7188450098:A cri:1264.4384499872103:犯罪记:done:
556350.7188450098:This :2005.908654013183:这就是:done:
557081.8033899665:It ma:3622.0798040158115:它也许:done:
557081.8033899665:My re:4762.455908989068:我对这:done:
558465.268716991:A pat:4927.210256981198:病人可:done:
558465.268716991:In th:5001.265827973839:Non:done:
571588.3021479845:Acros:2435.4982170043513:在整个:done:
571588.3021479845:Secon:4447.734497953206:第二,:done:
574897.2944699526:In re:3815.1616799877957:作为回:done:
574897.2944699526:So it:5001.4900880050845:Non:done:
597822.9691599607:But e:3576.2711679562926:但经济:done:
597822.9691599607:Indee:4877.533169055823:事实上:done:
611694.5312769413:Now, :2532.115505018737:如今,:done:
611694.5312769413:We sh:3212.2559889685363:我们应:done:
616185.5179849863:For e:1909.8106069723144:例如,:done:
616185.5179849863:In th:3241.8143510003574:在众议:done:
618311.1610800028:Conti:2358.5536730242893:公众对:done:
618311.1610800028:Indee:3779.2433470021933:事实上:done:
622419.3110079765:Still:1750.4564709961414:与此同:done:
622419.3110079765:The F:5001.091405050829:Non:done:
624190.4272549748:Ameri:4750.793101964518:没有减:done:
624190.4272549748:But, :5000.972556008492:Non:done:
629219.9239940047::::error:RuntimeError
629219.9239940047::::error:RuntimeError
