Timestamp:InputSen:LatencyMS:OutputSen:State:EName
4154.295196950436:Given:7607.460037979763:鉴于这:done:
6010.616961956024:Yet t:9221.798913029488:尽管如:done:
781114.1694279909:It to:870.3352669836022:电视花:done:
791726.7191709876:To be:1143.1865799822845:首先,:done:
824199.8848749399:BUENO:4008.054446952883:布隆斯:done:
828405.5957009196:And i:1204.4766180333681:这并不:done:
836350.8967449665:Altho:1312.2041570022702:尽管会:done:
838811.7321389318:If al:1263.743193994742:如果基:done:
842500.3594629765:Two m:1496.1689849733375:Sil:done:
865622.1570689678:The t:1545.3998140292242:实现这:done:
868666.574205935:Thoug:2793.861045036465:尽管一:done:
869056.6085509658:Is Gr:5832.292229984887:没有社:done:
869568.686768949:Simil:5320.69240900455:类似地:done:
873694.3762849569:The s:5225.223579036538:第二次:done:
877451.5401879549:Japan:3060.0729980506003:过去日:done:
923223.1710439324:Since:1923.3429610030726:自20:done:
929946.96013695:Loss :2836.4040559972636:现在,:done:
944635.8718829155:Secon:3252.107605978381:其次,:done:
994384.1892309189:More :1770.2913389657624:更重要:done:
1022975.0177749395:The F:2427.481775986962:法国经:done:
1024061.5300399661:This :4468.008633994032:这 尤:done:
1058319.8880869746:Some :1373.0587750324048:是一些:done:
1072899.6839989424:A thi:2068.3031249791384:第三个:done:
1079836.751011908:Lever:1309.3992049689405:一些新:done:
1090073.4913249612:The t:643.0697860196233:这种威:done:
1094368.1003749967:To be:2425.1849470310844:当然,:done:
1095866.2543139458:In th:1811.8831599713303:在这些:done:
1103999.6191949844:The g:1568.7591749592684:阿拉伯:done:
1116590.9324089885:Smart:3183.313670975622:为了提:done:
1121821.816487968:Admat:2851.444166037254:阿德马:done:
1122509.6276209354:But t:6567.653256002814:但是,:done:
1126931.0682019591:This :4837.2404190013185:这意味:done:
1135839.3834359646:The y:1330.6184260291047:日元贬:done:
1142395.665911913:The i:1551.043039013166:欧盟新:done:
1168315.836519003:BRUSS:1812.0073929894716:布鲁塞:done:
1182329.4339829087:While:3179.027476988267:希尔德:done:
1185306.2628869414:India:2796.5894599910825:印度将:done:
1189276.6061449647:The l:1601.4614530140534:例如,:done:
1222692.6716829538:Moreo:3642.2097719623707:此外,:done:
1224677.1775939465:Likew:3623.0736119905487:同样,:done:
1232576.441542983:Israe:3331.2048610532656:以色列:done:
1240166.905790925:“That:1515.2924379799515:“现在:done:
1255494.4510339499:Oppos:1738.0387739976868:反对党:done:
1267257.952813983:Almos:2254.0531050181016:几乎所:done:
1273880.0297269821:The o:1833.2854349864647:该规则:done:
1294576.7944359183:Inves:1717.6452880376019:投资者:done:
1299498.3266519308:We no:1028.6349540110677:我们现:done:
1313401.4709259868:US co:2503.9394539780915:美国消:done:
1315217.78361094:Gener:2544.7497779969126:代数平:done:
1316056.230891943:Yet p:5358.508231001906:然而,:done:
1318552.971446991:(Unfo:4377.9355000006035:(不幸:done:
1322374.2257779837:A pre:1161.020862055011:总统制:done:
1337848.3194919229:In th:1496.050571964588:在三天:done:
1344972.5890019536:The “:4000.2528579789214:哈维尔:done:
1351957.4369129539:CARAC:1723.6629939870909:卡拉加:done:
1358191.5022649765:Even :2176.4876280212775:甚至在:done:
1370258.3776849508:The g:1422.0571200130507:政府的:done:
1399690.0613939762:For p:1541.7260639951564:对15:done:
1401649.74989295:The p:2423.014757980127:预计减:done:
1410820.973322928:Such :2624.2165680159815:这些法:done:
1468793.181397915:In Sa:862.8225090214983:在沙特:done:
1477767.3536689878:The g:1660.884901008103:欧洲和:done:
1478916.0716499686:Likew:3517.46629900299:同样,:done:
